,Coefficient,P-Value
Size,-0.03589678942968376,0.35247595691891176
Price,0.016265714746089767,2.1899226254805725e-17
WG Type,-0.8345448551138268,0.09257594432611826
Health Centers Proximity,5.628633071837412,3.908207920895929e-06
Low-crime Areas Proximity,2.0431502418828607,0.07472810289486768
Berlin Hauptbahnhof Proximity,-2.6113673917883435,0.06992228580148879
Berlin Brandenburg Airport Proximity,-6.314759805612983,0.0007773123456735304
Cinemas Proximity,5.628633071837404,3.908207920895934e-06
