,coef,std err,t,P>|t|,[0.025,0.975]
const,12.8594,1.215,10.585,0.0,10.471,15.248
Size,0.1101,0.056,1.974,0.049,0.0,0.22
WG Type,0.4961,0.187,2.651,0.008,0.128,0.864
Price,-0.0088,0.001,-6.243,0.0,-0.012,-0.006
