,coef,std err,t,P>|t|,[0.025,0.975]
const,454.3953,39.834,11.407,0.0,376.091,532.699
Size,15.1669,1.712,8.858,0.0,11.801,18.533
WG Type,7.8478,6.283,1.249,0.212,-4.504,20.199
Online Duration,-9.8381,1.576,-6.243,0.0,-12.936,-6.741
