,Coefficients,Standard Errors,t Values,p Values,Confidence Interval Low,Confidence Interval High
const,649.9999999999999,20.550805958759128,31.62892984851322,2.5522701528613254e-76,609.4544817452589,690.5455182547408
Distance Category_Very Close,-109.99999999999991,41.101611917518234,-2.6762940641049644,0.008116214752195003,-191.09103650948182,-28.908963490518005
Distance Category_Moderately Close,-37.60204081632689,24.824690321003185,-1.5147033187565404,0.1315634721300131,-86.57967880280813,11.375597170154357
Distance Category_Very Far,-167.5,32.4936772909196,-5.154849003403136,6.513626327310555e-07,-231.6080932984583,-103.3919067015417
