,Coefficient,P-Value
const,454.3953498694715,2.332103254325526e-26
Size,15.166939889966763,2.5137736263070335e-17
WG Type,7.847816363630873,0.21237089337494408
Online Duration,-9.838085235405124,1.0725735603380243e-09
