,coef,std err,t,P>|t|,[0.025,0.975]
Size,7.6129,1.192,6.386,0.0,5.262,9.964
WG Type,66.0265,16.197,4.076,0.0,34.086,97.967
Online Duration,18.6944,2.005,9.325,0.0,14.741,22.648
Health Centers Proximity,-66.748,42.133,-1.584,0.115,-149.833,16.337
Low-crime Areas Proximity,-67.6408,38.678,-1.749,0.082,-143.911,8.63
Berlin Hauptbahnhof Proximity,102.6284,48.444,2.119,0.035,7.1,198.157
Berlin Brandenburg Airport Proximity,30.1603,64.492,0.468,0.641,-97.015,157.336
Cinemas Proximity,-66.748,42.133,-1.584,0.115,-149.833,16.337
