,Coefficient,P-Value
Size,7.612937142943737,1.1786762115189534e-09
WG Type,66.02650723870246,6.6073980376507e-05
Online Duration,18.69442345591336,2.1899226254764824e-17
Health Centers Proximity,-66.7479832131694,0.11473445296433835
Low-crime Areas Proximity,-67.64078486173621,0.08186049323093177
Berlin Hauptbahnhof Proximity,102.62838819155104,0.035372230901065685
Berlin Brandenburg Airport Proximity,30.160286518391274,0.6405408749248458
Cinemas Proximity,-66.7479832131705,0.1147344529643364
