,Coefficient,P-Value
const,12.859374307407775,2.6569146637123115e-23
Size,0.11010419978179108,0.04907645260633964
WG Type,0.4960687368393858,0.008345851048815599
Price,-0.008844653218214347,1.0725735603379542e-09
